length	ct_index	w_count	hard0	hard30	hard50	all_count
107	7	426.0142	829	530	55	1734
107	8	52.1077	3	3	2	1734
107	9	75.1356	5	5	4	1734
107	10	46.0097	1	1	1	1734
108	1	176.3937	17	12	5	1805
108	2	87.1705	21	14	10	1805
108	3	607.3598	869	705	378	1805
108	4	32.6604	3	3	3	1805
108	5	90.1245	4	4	3	1805
108	6	185.8032	13	12	11	1805
108	7	452.3343	875	594	72	1805
108	8	51.1133	1	1	0	1805
108	9	76.3715	1	1	1	1805
108	10	45.6680	1	1	1	1805
109	1	190.6894	14	11	7	1965
109	2	88.8938	10	6	3	1965
109	3	664.4524	938	758	437	1965
109	4	33.1267	0	0	0	1965
109	5	102.3107	8	8	6	1965
109	6	200.1519	21	17	8	1965
109	7	483.2827	957	628	82	1965
109	8	61.9598	9	9	7	1965
109	9	89.0782	6	5	5	1965
109	10	51.0544	2	2	2	1965
110	1	220.0891	18	11	6	2234
110	2	112.4161	16	10	9	2234
110	3	755.0634	1095	861	483	2234
110	4	39.7471	2	2	1	2234
110	5	113.6488	5	5	3	2234
110	6	223.6191	6	6	3	2234
110	7	544.7230	1080	703	77	2234
110	8	67.7458	2	2	2	2234
110	9	95.1904	3	2	0	2234
110	10	61.7570	7	7	5	2234
111	1	270.9685	23	15	10	2785
111	2	136.1733	21	17	9	2785
111	3	949.3477	1341	1068	612	2785
111	4	50.4483	2	2	2	2785
111	5	142.4320	10	9	6	2785
111	6	278.8635	14	11	9	2785
111	7	682.0721	1362	887	97	2785
111	8	80.8436	4	4	3	2785
111	9	122.8852	8	8	6	2785
111	10	70.9660	0	0	0	2785
112	1	281.6276	31	13	9	2886
112	2	143.7664	26	20	10	2886
112	3	971.1940	1370	1105	618	2886
112	4	51.9358	2	2	2	2886
112	5	149.0123	12	12	9	2886
112	6	291.8309	16	14	8	2886
112	7	703.4795	1412	932	107	2886
112	8	90.5178	8	8	7	2886
112	9	127.7537	7	7	3	2886
112	10	74.8821	2	1	1	2886
113	1	274.6723	19	9	7	2859
113	2	144.9195	33	20	12	2859
113	3	990.9114	1376	1093	667	2859
113	4	48.2532	0	0	0	2859
113	5	139.8888	5	4	0	2859
113	6	279.1021	13	12	6	2859
113	7	695.6755	1400	934	107	2859
