length	ct_index	w_count	hard0	hard30	hard50	all_count
92	2	109.7994	5	4	3	3041
92	3	1203.3370	1918	1576	901	3041
92	4	66.0430	4	4	4	3041
92	5	135.8692	5	4	2	3041
92	6	258.5265	17	15	9	3041
92	7	571.9629	1027	711	31	3041
92	8	99.2913	3	2	2	3041
92	9	182.6201	31	11	6	3041
92	10	119.3349	10	8	3	3041
93	1	286.2162	36	12	6	2912
93	2	106.8894	6	6	5	2912
93	3	1127.6436	1791	1470	810	2912
93	4	61.9321	3	3	2	2912
93	5	132.7912	7	7	4	2912
93	6	245.0518	7	5	5	2912
93	7	568.5801	1018	715	42	2912
93	8	93.5440	8	7	3	2912
93	9	174.4363	30	15	11	2912
93	10	114.9151	6	5	3	2912
94	1	222.1566	18	6	4	2312
94	2	83.9867	5	5	4	2312
94	3	907.6009	1424	1194	700	2312
94	4	48.7379	1	1	1	2312
94	5	105.3618	8	8	5	2312
94	6	197.5414	15	13	7	2312
94	7	439.1381	812	571	32	2312
94	8	76.5143	8	8	5	2312
94	9	140.1191	17	9	8	2312
94	10	90.8429	4	3	2	2312
95	1	188.8340	19	8	4	1975
95	2	72.4625	5	5	4	1975
95	3	798.9374	1272	1071	615	1975
95	4	43.5448	4	4	4	1975
95	5	88.0841	9	9	7	1975
95	6	158.6258	10	9	5	1975
95	7	368.6951	632	449	41	1975
95	8	62.6014	4	3	3	1975
95	9	116.9418	14	5	4	1975
95	10	76.2724	6	5	4	1975
96	1	181.7873	18	11	7	1824
96	2	66.0829	5	5	4	1824
96	3	719.4058	1151	948	554	1824
96	4	39.3344	2	2	1	1824
96	5	83.2630	7	7	4	1824
96	6	153.1312	15	8	6	1824
96	7	342.2941	596	410	31	1824
96	8	61.0106	6	6	5	1824
96	9	107.9662	19	6	4	1824
96	10	69.7242	5	4	2	1824
97	1	189.4057	28	12	5	1900
97	2	71.1739	10	8	6	1900
97	3	742.4246	1189	975	570	1900
97	4	40.1098	2	2	1	1900
97	5	85.4436	3	3	2	1900
97	6	159.0236	8	8	5	1900
97	7	367.7562	634	436	40	1900
97	8	60.8042	2	2	1	1900
97	9	109.8391	20	6	4	1900
97	10	74.0196	4	4	2	1900
98	1	207.2780	29	15	9	2080
98	2	77.5014	9	7	7	2080
98	3	811.4396	1272	1063	613	2080
98	4	43.2924	1	1	0	2080
98	5	94.4737	6	6	4	2080
98	6	177.4108	9	8	8	2080
98	7	404.9273	723	512	42	2080
98	8	68.4992	7	7	7	2080
98	9	117.0136	16	4	3	2080
98	10	78.1649	8	7	5	2080
99	1	240.2885	23	8	2	2427
99	2	89.7976	8	6	3	2427
99	3	959.8465	1531	1274	725	2427
99	4	49.0758	0	0	0	2427
99	5	111.5334	6	6	6	2427
99	6	201.7739	5	5	3	2427
99	7	461.5479	823	567	38	2427
99	8	78.4585	4	4	4	2427
99	9	141.7349	24	14	6	2427
99	10	92.9424	3	2	1	2427
100	1	289.3978	38	17	5	2901
100	2	107.2109	8	7	5	2901
100	3	1139.7465	1795	1510	851	2901
100	4	59.9874	1	1	1	2901
100	5	131.7339	12	10	6	2901
100	6	245.7211	14	14	10	2901
100	7	554.6198	1000	682	39	2901
100	8	90.0473	1	1	1	2901
100	9	168.6317	19	12	6	2901
